# C1  C2   C3    C4    T
213.31 213.31 213.31 213.31 213.31
213.31 20.56 2.57 5.14 213.31
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
10.28 20.56 2.57 5.14 7.71
