# C1  C2   C3    C4    T
2.12 2.11 2.12 2.09 0.00
2.10 2.11 2.11 2.10 0.00
2.09 2.09 2.04 2.04 0.00
2.04 2.06 2.08 2.07 0.00
2.05 2.05 2.10 2.15 0.00
2.13 2.05 2.06 2.02 0.00
1.99 2.06 2.11 2.10 0.00
2.06 2.12 2.10 2.13 0.00
2.13 2.14 2.14 2.13 0.00
2.11 2.14 2.13 2.14 0.00
2.12 2.09 2.11 2.13 0.00
2.11 2.11 2.12 2.13 0.00
2.15 2.12 2.11 2.09 0.00
2.10 0.11 2.11 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
0.00 0.00 0.00 0.00 0.00
