# C1    C2   C3     C4      T
0.00 0.00 0.00 181.00 1023.00
0.00 0.00 0.00 181.00 1023.00
0.00 0.00 0.00 184.00 1023.00
0.00 0.00 0.00 183.00 1023.00
0.00 0.00 0.00 182.00 1023.00
0.00 0.00 0.00 184.00 1023.00
0.00 0.00 0.00 185.00 1023.00
0.00 0.00 0.00 186.00 1023.00
0.00 0.00 0.00 185.00 1023.00
0.00 0.00 0.00 184.00 1023.00
0.00 0.00 0.00 176.00 1023.00
0.00 0.00 0.00 173.00 1023.00
0.00 0.00 0.00 163.00 1023.00
0.00 0.00 0.00 186.00 1023.00
0.00 0.00 0.00 213.00 1023.00
0.00 0.00 0.00 231.00 1023.00
0.00 0.00 0.00 240.00 1023.00
0.00 0.00 0.00 244.00 1023.00
0.00 0.00 0.00 264.00 1023.00
0.00 0.00 0.00 261.00 1023.00
0.00 0.00 0.00 297.00 1023.00
0.00 0.00 0.00 258.00 1023.00
0.00 0.00 0.00 261.00 1023.00
0.00 0.00 0.00 259.00 1023.00
0.00 0.00 0.00 259.00 1023.00
0.00 0.00 0.00 259.00 1023.00
0.00 0.00 0.00 259.00 1023.00
0.00 0.00 0.00 261.00 1023.00
0.00 0.00 0.00 263.00 1023.00
0.00 0.00 0.00 259.00 1023.00
0.00 0.00 0.00 261.00 1023.00
0.00 0.00 0.00 262.00 1023.00
0.00 0.00 0.00 262.00 1023.00
0.00 0.00 0.00 260.00 1023.00
0.00 0.00 0.00 263.00 1023.00
0.00 0.00 0.00 261.00 1023.00
2.00 0.00 0.00 259.00 1023.00
0.00 0.00 0.00 258.00 1023.00
0.00 0.00 0.00 259.00 1023.00
0.00 0.00 0.00 260.00 1023.00
0.00 0.00 0.00 261.00 1023.00
0.00 0.00 0.00 261.00 1023.00
1.00 0.00 0.00 261.00 1023.00
2.00 0.00 0.00 262.00 1023.00
2.00 0.00 0.00 262.00 1023.00
2.00 0.00 0.00 262.00 1023.00
2.00 0.00 0.00 259.00 1023.00
0.00 0.00 0.00 262.00 1023.00
0.00 0.00 0.00 259.00 1023.00
1.00 0.00 0.00 261.00 1023.00
2.00 0.00 0.00 262.00 1023.00
3.00 0.00 0.00 256.00 1023.00
3.00 0.00 0.00 253.00 1023.00
2.00 0.00 0.00 239.00 1023.00
1.00 0.00 0.00 226.00 1023.00
1.00 0.00 0.00 240.00 1023.00
4.00 0.00 0.00 274.00 1023.00
5.00 0.00 0.00 283.00 1023.00
6.00 0.00 0.00 290.00 1023.00
3.00 0.00 0.00 298.00 1023.00
4.00 0.00 0.00 303.00 1023.00
6.00 0.00 0.00 302.00 1023.00
3.00 0.00 0.00 303.00 1023.00
2.00 0.00 0.00 307.00 1023.00
4.00 0.00 0.00 309.00 1023.00
6.00 0.00 0.00 309.00 1023.00
6.00 0.00 0.00 307.00 1023.00
6.00 0.00 0.00 309.00 1023.00
7.00 0.00 0.00 314.00 1023.00
8.00 0.00 0.00 315.00 1023.00
6.00 0.00 0.00 315.00 1023.00
8.00 0.00 0.00 316.00 1023.00
8.00 0.00 0.00 315.00 1023.00
11.00 0.00 0.00 311.00 1023.00
10.00 0.00 0.00 312.00 1023.00
9.00 0.00 0.00 313.00 1023.00
10.00 0.00 0.00 311.00 1023.00
7.00 0.00 0.00 311.00 1023.00
9.00 0.00 0.00 310.00 1023.00
10.00 0.00 0.00 306.00 1023.00
10.00 0.00 0.00 313.00 1023.00
11.00 0.00 0.00 311.00 1023.00
13.00 0.00 0.00 312.00 1023.00
11.00 0.00 0.00 309.00 1023.00
