# C1    C2   C3     C4      T
15.00 0.00 0.00 0.00 1023.00
23.00 0.00 0.00 0.00 1023.00
22.00 0.00 0.00 0.00 1023.00
22.00 0.00 0.00 0.00 1023.00
21.00 0.00 0.00 0.00 1023.00
20.00 0.00 0.00 0.00 1023.00
20.00 0.00 0.00 0.00 1023.00
19.00 0.00 0.00 0.00 1023.00
18.00 0.00 0.00 0.00 1023.00
17.00 0.00 0.00 0.00 1023.00
15.00 0.00 0.00 0.00 1023.00
14.00 0.00 0.00 0.00 1023.00
12.00 0.00 0.00 0.00 1023.00
10.00 0.00 0.00 0.00 1023.00
9.00 0.00 0.00 0.00 1023.00
8.00 0.00 0.00 0.00 1023.00
10.00 0.00 0.00 0.00 1023.00
22.00 0.00 0.00 0.00 1023.00
30.00 0.00 0.00 0.00 1023.00
24.00 0.00 0.00 0.00 1023.00
23.00 0.00 0.00 0.00 1023.00
22.00 0.00 0.00 0.00 1023.00
25.00 0.00 0.00 0.00 1023.00
21.00 0.00 0.00 0.00 1023.00
21.00 0.00 0.00 0.00 1023.00
20.00 0.00 0.00 0.00 1023.00
19.00 0.00 0.00 0.00 1023.00
20.00 0.00 0.00 0.00 1023.00
20.00 0.00 0.00 0.00 1023.00
21.00 0.00 0.00 0.00 1023.00
21.00 0.00 0.00 0.00 1023.00
21.00 0.00 0.00 0.00 1023.00
20.00 0.00 0.00 0.00 1023.00
20.00 0.00 0.00 0.00 1023.00
19.00 0.00 0.00 0.00 1023.00
19.00 0.00 0.00 0.00 1023.00
20.00 0.00 0.00 0.00 1023.00
21.00 0.00 0.00 0.00 1023.00
19.00 0.00 0.00 0.00 1023.00
19.00 0.00 0.00 0.00 1023.00
20.00 0.00 0.00 0.00 1023.00
19.00 0.00 0.00 0.00 1023.00
20.00 0.00 0.00 0.00 1023.00
21.00 0.00 0.00 0.00 1023.00
21.00 0.00 0.00 0.00 1023.00
19.00 0.00 0.00 0.00 1023.00
19.00 0.00 0.00 0.00 1023.00
18.00 0.00 0.00 0.00 1023.00
19.00 0.00 0.00 0.00 1023.00
19.00 0.00 0.00 0.00 1023.00
19.00 0.00 0.00 0.00 1023.00
19.00 0.00 0.00 0.00 1023.00
19.00 0.00 0.00 0.00 1023.00
18.00 0.00 0.00 0.00 1023.00
17.00 0.00 0.00 0.00 1023.00
16.00 0.00 0.00 0.00 1023.00
24.00 0.00 0.00 0.00 1023.00
48.00 0.00 0.00 0.00 1023.00
59.00 0.00 0.00 0.00 1023.00
71.00 0.00 0.00 0.00 1023.00
78.00 0.00 0.00 0.00 1023.00
83.00 0.00 0.00 0.00 1023.00
77.00 0.00 0.00 0.00 1023.00
75.00 0.00 0.00 0.00 1023.00
77.00 0.00 0.00 0.00 1023.00
77.00 0.00 0.00 0.00 1023.00
79.00 0.00 0.00 0.00 1023.00
80.00 0.00 0.00 0.00 1023.00
83.00 0.00 0.00 0.00 1023.00
82.00 0.00 0.00 0.00 1023.00
79.00 0.00 0.00 0.00 1023.00
79.00 0.00 0.00 0.00 1023.00
80.00 0.00 0.00 0.00 1023.00
79.00 0.00 0.00 0.00 1023.00
82.00 0.00 0.00 0.00 1023.00
81.00 0.00 0.00 0.00 1023.00
80.00 0.00 0.00 0.00 1023.00
80.00 0.00 0.00 0.00 1023.00
80.00 0.00 0.00 0.00 1023.00
80.00 0.00 0.00 0.00 1023.00
82.00 0.00 0.00 0.00 1023.00
84.00 0.00 0.00 0.00 1023.00
82.00 0.00 0.00 0.00 1023.00
80.00 0.00 0.00 0.00 1023.00
80.00 0.00 0.00 0.00 1023.00
79.00 0.00 0.00 0.00 1023.00
81.00 0.00 0.00 0.00 1023.00
83.00 0.00 0.00 0.00 1023.00
83.00 0.00 0.00 0.00 1023.00
82.00 0.00 0.00 0.00 1023.00
85.00 0.00 0.00 0.00 1023.00
82.00 0.00 0.00 0.00 1023.00
82.00 0.00 0.00 0.00 1023.00
85.00 0.00 0.00 0.00 1023.00
84.00 0.00 0.00 0.00 1023.00
80.00 0.00 0.00 0.00 1023.00
77.00 0.00 0.00 0.00 1023.00
78.00 0.00 0.00 0.00 1023.00
78.00 0.00 0.00 0.00 1023.00
77.00 0.00 0.00 0.00 1023.00
77.00 0.00 0.00 0.00 1023.00
77.00 0.00 0.00 0.00 1023.00
80.00 0.00 0.00 0.00 1023.00
79.00 0.00 0.00 0.00 1023.00
76.00 0.00 0.00 0.00 1023.00
