# C1    C2   C3     C4      T
548.00 24.00 0.00 0.00 1023.00
547.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
547.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
547.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
547.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
547.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 20.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
549.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
547.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
547.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
547.00 24.00 0.00 0.00 1023.00
547.00 24.00 0.00 0.00 1023.00
547.00 24.00 0.00 0.00 1023.00
547.00 24.00 0.00 0.00 1023.00
547.00 24.00 0.00 0.00 1023.00
547.00 24.00 0.00 0.00 1023.00
547.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
547.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
547.00 24.00 0.00 0.00 1023.00
547.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
547.00 24.00 0.00 0.00 1023.00
547.00 24.00 0.00 0.00 1023.00
547.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
547.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
547.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
547.00 24.00 0.00 0.00 1023.00
547.00 24.00 0.00 0.00 1023.00
547.00 24.00 0.00 0.00 1023.00
547.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
547.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
547.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
549.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
549.00 24.00 0.00 0.00 1023.00
549.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
548.00 24.00 0.00 0.00 1023.00
549.00 24.00 0.00 0.00 1023.00
