# C1    C2   C3     C4      T
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
7.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 54.00 1023.00
131.00 58.00 59.00 58.00 1023.00
130.00 32.00 0.00 0.00 1023.00
86.00 20.00 0.00 0.00 1023.00
86.00 0.00 0.00 0.00 1023.00
85.00 0.00 0.00 0.00 1023.00
85.00 0.00 0.00 0.00 1023.00
85.00 0.00 0.00 0.00 1023.00
86.00 0.00 0.00 0.00 1023.00
85.00 0.00 0.00 0.00 1023.00
85.00 0.00 0.00 0.00 1023.00
85.00 0.00 0.00 0.00 1023.00
85.00 0.00 0.00 0.00 1023.00
85.00 0.00 0.00 0.00 1023.00
86.00 0.00 0.00 0.00 1023.00
86.00 0.00 0.00 0.00 1023.00
86.00 0.00 0.00 0.00 1023.00
86.00 0.00 0.00 0.00 1023.00
85.00 0.00 0.00 0.00 1023.00
86.00 0.00 0.00 0.00 1023.00
85.00 0.00 0.00 0.00 1023.00
85.00 0.00 0.00 0.00 1023.00
86.00 0.00 0.00 0.00 1023.00
86.00 0.00 0.00 0.00 1023.00
86.00 0.00 0.00 0.00 1023.00
86.00 0.00 0.00 0.00 1023.00
86.00 0.00 0.00 0.00 1023.00
86.00 0.00 0.00 0.00 1023.00
86.00 0.00 0.00 0.00 1023.00
86.00 0.00 0.00 0.00 1023.00
86.00 0.00 0.00 0.00 1023.00
86.00 0.00 0.00 0.00 1023.00
86.00 0.00 0.00 0.00 1023.00
86.00 0.00 0.00 0.00 1023.00
86.00 0.00 0.00 0.00 1023.00
86.00 0.00 0.00 0.00 1023.00
86.00 0.00 0.00 0.00 1023.00
86.00 0.00 0.00 0.00 1023.00
86.00 0.00 0.00 0.00 1023.00
86.00 0.00 0.00 0.00 1023.00
86.00 0.00 0.00 0.00 1023.00
