Memory Length,500,
Trigger Level,2.000E-01,
Source,CH1,
Vertical Units,V,
Vertical Scale,5.000E-01,
Vertical Position,0.000E+00,
Horizontal Units,s,
Horizontal Scale,2.500E-05,
Horizontal Position,0.000E+00,
Horizontal Mode,Main,
Sampling Period,1.000E-06,
Firmware,V1.09,
Time,08-Jul-17  1:31,
Waveform Data,
-20,
-23,
-24,
-28,
-30,
-33,
-32,
-35,
-39,
-38,
-40,
-44,
-41,
-46,
-45,
-45,
-45,
-47,
-43,
-44,
-43,
-46,
-46,
-42,
-42,
-41,
-38,
-38,
-36,
-34,
-32,
-30,
-28,
-25,
-23,
-21,
-18,
-15,
-13,
-9,
-9,
-5,
-1,
1,
5,
8,
11,
13,
17,
17,
21,
23,
29,
30,
32,
35,
38,
39,
40,
43,
42,
47,
46,
46,
47,
50,
51,
51,
51,
50,
49,
50,
49,
50,
49,
46,
47,
46,
45,
43,
40,
36,
35,
32,
30,
29,
26,
23,
20,
17,
15,
12,
8,
6,
5,
2,
-4,
-7,
-8,
-13,
-16,
-17,
-19,
-23,
-24,
-27,
-31,
-29,
-32,
-35,
-34,
-38,
-40,
-40,
-45,
-43,
-43,
-44,
-45,
-46,
-44,
-46,
-46,
-45,
-45,
-44,
-43,
-44,
-40,
-40,
-39,
-36,
-32,
-30,
-28,
-25,
-24,
-24,
-20,
-17,
-15,
-8,
-7,
-4,
-2,
-1,
4,
6,
9,
11,
13,
17,
20,
21,
27,
30,
33,
34,
34,
38,
39,
41,
41,
42,
44,
47,
47,
49,
49,
50,
51,
51,
49,
50,
50,
49,
48,
48,
45,
45,
43,
43,
40,
39,
38,
35,
32,
30,
28,
27,
20,
19,
17,
13,
11,
9,
4,
1,
-1,
-5,
-6,
-11,
-14,
-15,
-19,
-19,
-23,
-26,
-27,
-29,
-32,
-34,
-39,
-39,
-41,
-40,
-42,
-43,
-45,
-45,
-45,
-45,
-45,
-46,
-44,
-45,
-44,
-46,
-43,
-43,
-40,
-40,
-39,
-37,
-34,
-31,
-30,
-26,
-25,
-24,
-19,
-17,
-15,
-12,
-10,
-7,
-5,
-1,
1,
5,
7,
12,
13,
16,
18,
20,
23,
28,
29,
31,
34,
38,
38,
41,
39,
43,
46,
46,
49,
49,
48,
50,
50,
48,
50,
51,
51,
49,
49,
46,
46,
47,
44,
42,
41,
40,
38,
36,
34,
33,
28,
26,
22,
19,
17,
14,
12,
7,
4,
1,
-1,
-3,
-6,
-11,
-13,
-14,
-16,
-18,
-22,
-26,
-27,
-29,
-30,
-34,
-34,
-39,
-41,
-43,
-41,
-44,
-46,
-45,
-45,
-46,
-46,
-45,
-46,
-43,
-46,
-43,
-45,
-44,
-43,
-40,
-40,
-39,
-34,
-33,
-31,
-29,
-27,
-23,
-21,
-20,
-18,
-15,
-10,
-6,
-5,
-2,
-2,
3,
5,
7,
13,
15,
19,
21,
22,
27,
29,
31,
35,
36,
37,
39,
40,
41,
42,
45,
46,
47,
47,
50,
50,
50,
47,
50,
50,
49,
48,
48,
48,
49,
42,
44,
41,
40,
35,
37,
34,
31,
29,
27,
25,
21,
19,
17,
12,
10,
7,
3,
2,
-2,
-7,
-6,
-9,
-14,
-16,
-19,
-21,
-23,
-27,
-28,
-30,
-32,
-33,
-34,
-37,
-41,
-43,
-43,
-45,
-45,
-44,
-45,
-46,
-46,
-45,
-45,
-45,
-44,
-46,
-44,
-41,
-42,
-41,
-39,
-36,
-36,
-33,
-30,
-27,
-25,
-24,
-19,
-17,
-16,
-15,
-10,
-7,
-3,
-2,
2,
5,
5,
11,
14,
17,
17,
19,
26,
26,
31,
32,
34,
37,
37,
40,
42,
45,
45,
46,
47,
48,
49,
50,
49,
50,
49,
51,
50,
49,
49,
46,
46,
46,
45,
41,
40,
39,
37,
35,
33,
30,
28,
26,
25,
21,
16,
