# C1    C2   C3     C4      T
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
0.00 0.00 0.00 0.00 1023.00
160.00 3.00 1.00 0.00 1023.00
159.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
160.00 2.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
160.00 4.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 4.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
161.00 3.00 0.00 0.00 1023.00
160.00 3.00 0.00 0.00 1023.00
